,name,rating,service,employees,headquarter,age
128,SMFG India Credit,4.1,NBFC , 10k-50k Employees , Mumbai +485 more, 17 years old 
129,Bosch,4.3,Auto Components , 5k-10k Employees , Gerlingen +103 more, 138 years old 
130,Reliance Communications,4.0,Telecom , 201-500 Employees , Navi Mumbai +430 more, 22 years old 
131,BNY Mellon,4.0,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , New York City +16 more, 20 years old 
132,L&T Technology Services,3.4,IT Services & Consulting , 10k-50k Employees , Vadodara/Baroda +52 more, 12 years old 
133,Schneider Electric,4.2,Industrial Automation , 10k-50k Employees , Paris +117 more, 25 years old 
134,Hyundai Motor India Limited,4.4,Automobile , 10k-50k Employees , Seoul +271 more, 57 years old 
135,Amdocs,4.0,Software Product , 10k-50k Employees , Chesterfield +15 more, 42 years old 
136,Oyo Rooms,3.4,Hospitality , 1k-5k Employees , Gurgaon +116 more, 11 years old 
137,Swiggy,3.9,Internet , 5k-10k Employees , Bangalore +190 more, 10 years old 
138,CBRE,4.3,Real Estate , 10k-50k Employees , Los Angeles +76 more, 118 years old 
139,State Bank of India,3.9,Banking , 1 Lakh+ Employees , Mumbai +491 more, 218 years old 
140,JBM Group,4.0,Auto Components , 1k-5k Employees , Gurgaon/Gurugram +87 more, 41 years old 
141,BT Group,4.1,Telecom , 10k-50k Employees , London +18 more, 178 years old 
142,SBI Life Insurance Company,3.9,Insurance , 10k-50k Employees , Mumbai +530 more, 23 years old 
143,Optum,4.0,Healthcare , 10k-50k Employees , Prairie +32 more, 47 years old 
144,Ecom Express,4.1,Logistics , 10k-50k Employees , Gurgaon +632 more, 12 years old 
145,Nagarjuna Construction Company,4.2,Engineering & Construction , 5k-10k Employees , Hyderabad/Secunderabad +227 more, 26 years old 
146,Dell,4.2,Consumer Electronics & Appliances , 10k-50k Employees , Round Rock +102 more, 40 years old 
147,Bajaj Auto,3.9,Automobile , 5k-10k Employees , Pune +260 more, 79 years old 
148,KEC International,4.1,Engineering & Construction , 5k-10k Employees , Mumbai +266 more, 79 years old 
149,Future Group,4.3,Retail , 10k-50k Employees , Mumbai +203 more, 11 years old 
150,Piramal Capital Housing Finance,4.3,NBFC , 1k-5k Employees , Mumbai +332 more, 4 years old 
151,Aditya Birla Fashion and Retail,4.2,Fashion & Textile , 10k-50k Employees , Mumbai +234 more, 36 years old 
152,Muthoot Fincorp,4.1,NBFC , 10k-50k Employees , Trivandrum/Thiruvananthapuram +547 more, 137 years old 
153,Royal Enfield,4.3,Automobile , 5k-10k Employees , Gurgaon/Gurugram +310 more, 123 years old 
154,L&T Finance,4.0,NBFC , 10k-50k Employees , Mumbai +480 more, 30 years old 
155,Viatris,4.3,Pharma , 10k-50k Employees , Canonsburg +71 more, 4 years old 
156,Tata Communications,4.2,Telecom , 5k-10k Employees , Mumbai +90 more, 38 years old 
157,Samvardhana Motherson Group,3.8,Auto Components , 1k-5k Employees , Noida +81 more, 38 years old 
158,Intas Pharmaceuticals,4.2,Pharma , 10k-50k Employees , Ahmedabad +118 more, 47 years old 
159,LG Electronics,4.1,Consumer Electronics & Appliances , 1k-5k Employees , Seoul +251 more, 66 years old 
160,John Deere,4.3,Industrial Machinery , 5k-10k Employees , Moline +123 more, 23 years old 
161,Varun Beverages,4.1,Beverage , 5k-10k Employees , Gurgaon/Gurugram +287 more, 29 years old 
162,Kogta Financial India Limited,4.8,NBFC , 1k-5k Employees , Jaipur +206 more, 28 years old 
163,Persistent Systems,3.8,IT Services & Consulting , 10k-50k Employees , Pune +33 more, 34 years old 
164,Godrej & Boyce Manufacturing,4.0,Consumer Electronics & Appliances , 10k-50k Employees , Mumbai +132 more, 127 years old 
165,Randstad,3.9,Recruitment , 5k-10k Employees , Chennai +266 more, 32 years old 
166,Thermax Limited,4.2,Industrial Machinery , 1k-5k Employees , Pune +183 more, 58 years old 
167,Hetero Drugs,3.9,Pharma , 1k-5k Employees , Hyderabad/Secunderabad +47 more, 31 years old 
168,Deutsche Bank,4.1,Banking , 10k-50k Employees , Frankfurt +38 more, 154 years old 
169,Macleods Pharmaceuticals,3.8,Pharma , 10k-50k Employees , Mumbai +99 more, 38 years old 
170,Havells,4.1,Electrical Equipment , 5k-10k Employees , Noida +182 more, 41 years old 
171,CARS24,3.7,Internet , 5k-10k Employees , Gurgaon +149 more, 9 years old 
172,Team Lease,4.0,Recruitment , 1k-5k Employees , Bangalore/Bengaluru +312 more, 8 years old 
173,Subros,4.0,Auto Components , 1k-5k Employees , Noida +60 more, 39 years old 
174,Sodexo,4.1,Facility Management Services , 10k-50k Employees , Issy les Moulineaux +133 more, 16 years old 
175,Abbott,4.2,Pharma , 10k-50k Employees , Illinois City +172 more, 136 years old 
176,VE Commercial Vehicles,4.1,Automobile , 1k-5k Employees , Gurgaon/Gurugram +128 more, 16 years old 
177,Indian Oil Corporation,4.5,Oil & Gas , 10k-50k Employees , Delhi/NCR +259 more, 65 years old 
178,Whitehat jr,3.5,EdTech , 5k-10k Employees , Mumbai +50 more, 6 years old 
179,Ford Motor,4.5,Automobile , 5k-10k Employees , Dearborn +110 more, 121 years old 
180,Tata Capital,4.2,NBFC , 5k-10k Employees , Bangalore / Bengaluru +236 more, 17 years old 
181,Automatic Data Processing (ADP),4.1,Software Product , 1k-5k Employees , Bangalore / Bengaluru +26 more, 75 years old 
182,Bharat Electronics,4.2,Electronics Manufacturing , 5k-10k Employees , Bangalore / Bengaluru +54 more, 70 years old 
183,Cummins,4.4,Industrial Machinery , 1k-5k Employees , Bangalore / Bengaluru +85 more, 105 years old 
184,ITC Infotech,3.7,IT Services & Consulting , 10k-50k Employees , Bangalore / Bengaluru +55 more, 24 years old 
185,Access Healthcare,4.0,IT Services & Consulting , 5k-10k Employees , Bangalore / Bengaluru +31 more, 13 years old 
186,R1 RCM,3.9,Healthcare , 5k-10k Employees , Bangalore / Bengaluru +32 more, 17 years old 
187,American Express,4.2,Financial Services , 10k-50k Employees , Bangalore / Bengaluru +45 more, 174 years old 
188,Alembic Pharmaceuticals,4.1,Pharma , 10k-50k Employees , Bangalore / Bengaluru +154 more, 117 years old 
189,Pidilite Industries,4.4,Chemicals , 5k-10k Employees , Bangalore / Bengaluru +241 more, 65 years old 
190,Tata AIA Life Insurance,4.1,Insurance , 10k-50k Employees , Bangalore / Bengaluru +331 more, 23 years old 
191,UnitedHealth,4.1,Healthcare , 10k-50k Employees , Bangalore / Bengaluru +16 more, 47 years old 
192,Hindalco Industries,4.3,Metals & Mining , 10k-50k Employees , Bangalore / Bengaluru +87 more, 66 years old 
193,Alkem Laboratories,4.0,Pharma , 10k-50k Employees , Bangalore / Bengaluru +166 more, 51 years old 
194,Aakash Educational Services,3.6,EdTech , 5k-10k Employees , Bangalore / Bengaluru +212 more, 36 years old 
195,Publicis Sapient,3.6,IT Services & Consulting , 10k-50k Employees , Bangalore / Bengaluru +28 more, 34 years old 
196,Atos,3.8,IT Services & Consulting , 10k-50k Employees , Bangalore / Bengaluru +41 more, 27 years old 
197,Utkarsh Small Finance Bank,4.0,Banking , 10k-50k Employees , Bangalore / Bengaluru +305 more, 15 years old 
198,DCB Bank,3.9,Banking , 5k-10k Employees , Bangalore / Bengaluru +304 more, 94 years old 
199,Hindustan Coca Cola Beverages,4.3,Beverage , 5k-10k Employees , Bangalore / Bengaluru +218 more, 27 years old 
